participant_number,map,rotation,vision,haptic,average_dist_to_nearest_obstacle,time_through_maze,path_length,average_velocity,area_between_lead_and_robot,condition
3,3,270,1,0,0.899132287828331,24.22,15.0406069416622,1.15201701084806,2.99928050345419,2
3,5,0,1,0,0.876325605172874,18.19,16.8846272052838,1.09546527924075,1.7117128288087,2
3,5,90,0,1,0.900341212867523,14.65,14.3696002713401,1.28904224673062,1.90246622855324,3
3,5,270,1,1,0.788254970300331,18.25,14.5724558077031,1.06205166524691,4.59293696809092,1
3,6,90,1,0,0.912117443458457,17.13,14.2666313940033,1.11664603353924,1.97592227082394,2
3,6,180,0,0,0.526899091124566,22.48,36.6841136334184,0.743735546889318,22.302501575713,4
3,6,270,1,1,0.877218888236722,17.41,14.5073810316044,1.13960545774936,2.53608714436082,1
3,6,270,0,1,0.940150346244343,15.64,14.224437809558,1.22911693469782,1.67232145840653,3
3,7,0,1,1,0.830184795040331,18.2,14.6527924448137,0.997818014278345,3.34103241875009,1
3,7,90,0,1,0.890711397933294,13.99,14.1842064659121,1.26791943810156,3.27072848753908,3
3,8,90,0,1,0.923520307080656,14.91,14.7829220650549,1.18662105484428,3.35966234415919,3
3,8,180,1,0,0.861541602798067,15.34,14.4462028459346,1.15877040603177,3.21230036564485,2
3,8,270,1,1,0.845785243715508,19.77,15.2402824308491,0.974228008280662,5.12429081547534,1
3,9,0,0,1,0.886093558696972,16.91,15.3986030308318,1.08560371401002,2.6874277329818,3
3,9,180,1,0,0.895051566720547,15.58,14.8734450690223,1.14497508415163,3.31959444846565,2
3,9,270,1,1,0.856234198593376,18.43,15.8493659927566,1.04156804090759,3.84262733374994,1
3,10,0,1,1,0.737477698879387,18.89,16.2365591765344,1.02561437592789,7.08241467120579,1
3,10,180,0,1,0.909700523002442,15.5,14.6422824876882,1.16205104359658,3.06775032222016,3
3,10,180,1,0,0.914900143476999,15.41,14.6396719983576,1.15845169606367,3.57483417097801,2
3,11,90,0,1,0.874823948348346,19.1,14.4431271204357,1.17940664390657,3.30548100037363,3
3,11,180,1,0,0.84410848965495,19.02,21.1735715604901,1.17779776498452,2.80827145838124,2
3,11,270,1,1,0.838358550610512,21.84,15.9313687214652,1.05745629517194,3.67251653192111,1
4,3,90,0,0,0.772108517967498,41.35,15.2394323413433,0.889421404357952,2.35482641520241,4
4,3,270,1,0,0.859030564406294,30.37,14.701524232281,0.990441144843335,1.79322517571087,2
4,3,270,1,1,0.874440367404204,29.98,15.9365763503556,0.973048067544729,3.00117192343398,3
4,5,180,1,0,0.866305331040373,15.81,14.6870038752476,1.21214844139874,1.37815823592917,2
4,5,270,1,1,0.777017313617295,21.72,14.2187431219012,0.929242048084765,2.9117158608911,3
4,5,270,0,0,0.760638289872278,26.57,15.1761255768981,0.891643907173462,1.42167166628244,4
4,6,90,0,0,0.785422030654863,21.02,14.5601781964493,0.907128557487912,1.75447155463625,4
4,6,180,1,0,0.875832282331644,15.75,14.5277042541271,1.18565885805244,1.76458499264259,2
4,6,180,1,1,0.789931499061458,16.66,15.0426519043293,1.13052881707359,3.69032537218766,3
4,7,0,1,0,0.81477661809985,21.92,20.6192621596779,1.01638684681545,2.1815572001103,2
4,7,0,1,1,0.735831529677024,21.39,17.0715282130781,0.927270319162793,7.31967474960025,3
4,7,180,0,0,0.766966599497368,27.34,20.2487196779794,0.808089158654685,2.24079040288439,4
4,8,180,1,1,0.836021513777497,18.74,16.1071479081064,0.983582831163453,3.50592948123343,3
4,8,270,0,0,0.594755858427901,120.24,88.6317418206653,0.355539169759036,2.97336730029296,4
4,9,90,0,0,0.780389239744043,30.52,14.781405159157,0.653526679010794,1.30554691620952,4
4,9,180,1,1,0.799589547234622,17.56,15.2419695488477,1.07553224887806,4.42565221129994,3
4,9,270,1,0,0.922490200378311,22.66,14.1332714132683,0.856335579550695,1.71228368816394,2
4,10,90,1,0,0.897963410821681,18.68,14.5065391590392,1.02957776565462,2.36686423462576,2
