"","participant","trial","condition_nums","time_through_maze","max_force","path_length","haptic","visual","map","average_velocity","average_proximity","average_force"
"382","40","P40_28","2",121.21,2.023234647749,29.370144502186,"1","0",8,0.275051089849203,0.63873301068108,0.391677540987616
"383","40","P40_29","2",71.01,2.01965464008036,22.1136357208186,"1","0",9,0.368500277594625,0.662321852944172,0.410301237801556
"384","40","P40_3","1",69.16,2.27267451993377,24.2228227731302,"1","1",10,0.350600505291617,0.754240721180671,0.292901351920169
"385","40","P40_30","1",39.97,0.90287416413847,19.1977023067348,"1","1",9,0.480206000728207,0.887263363004632,0.272604042564842
"386","40","P40_31","4",33.93,0.897541442279034,19.8361618061456,"0","0",9,0.584469167371409,0.751198647383666,0.303776423477777
"387","40","P40_32","3",20.77,2.27311477082835,18.6547818406154,"0","1",9,0.897888608657558,0.920101203729215,0.818738210873422
"388","40","P40_4","2",121.78,2.250559688218,30.1357803892975,"1","0",10,0.26339443682885,0.646968026800272,0.325763514132324
"389","40","P40_5","4",41.88,1.93648254420855,25.277832093585,"0","0",11,0.603219158197636,0.749410322595275,0.356038251795682
"390","40","P40_6","1",56.17,1.28912749269761,24.1718076505441,"1","1",11,0.435579244604804,0.83943225441863,0.204653009606278
"391","40","P40_7","3",28.72,2.21717043331591,23.369273672639,"0","1",11,0.813505212325422,0.923183212397763,0.820352914399756
"392","40","P40_8","2",89.86,2.01250465868074,32.1569658828422,"1","0",11,0.374141571965752,0.700804276507238,0.43252642781312
"393","40","P40_9","3",43.52,2.01085452244484,28.0606269240489,"0","1",3,0.644665184336675,0.861885178380676,0.485605608831475
"394","41","P41_1","4",68.36,0.432824342475754,19.3501096150808,"0","0",10,0.28302024660528,0.762834196429592,0.0487741512955861
"395","41","P41_10","1",73.77,2.00000943848948,30.1450686422812,"1","1",3,0.423745760579461,0.700749989458585,0.313116195441467
"396","41","P41_11","3",33.06,1.73270945286981,28.1175759900302,"0","1",3,0.850262277790326,0.860157538320244,0.705321221914594
"397","41","P41_12","4",73.22,0.911897827477034,30.8662267828775,"0","0",3,0.420232808743706,0.682912677915695,0.142647755966799
"398","41","P41_13","1",74.42,2.20585975027615,20.3484652715797,"1","1",5,0.27300272626489,0.642547722180683,0.46098914387656
"399","41","P41_14","2",154.25,2.1836655975334,25.8466191753823,"1","0",5,0.203818425616122,0.564145851131262,0.445117466450634
"400","41","P41_15","4",37.49,0.718079606402241,20.2330787379886,"0","0",5,0.539589453616303,0.786678932240033,0.160851874143769
"401","41","P41_16","3",18.21,2.006704698832,19.199366206936,"0","1",5,1.05386294702003,0.870869506054504,0.958173263524884
"402","41","P41_17","2",120.41,2.19704439602433,23.7865657277573,"1","0",6,0.34665503778822,0.612526320702064,0.321188233259454
"403","41","P41_18","4",77.5,1.30021224985671,35.6211579005875,"0","0",6,0.458807705474807,0.764381599074388,0.179535326893074
"404","41","P41_19","3",25.09,1.48454332991287,19.5270147146094,"0","1",6,0.777979081832127,0.814003660958302,0.580804689775643
"405","41","P41_20","1",41.51,1.38858789393267,19.4980173405612,"1","1",6,0.47120487419946,0.727198851658079,0.337581963447758
"406","41","P41_21","4",48.57,0.843680781911435,19.5046304206788,"0","0",7,0.401444461929815,0.720277445744583,0.193513620436388
"407","41","P41_22","1",38.4,2.00031248252241,18.8653430556273,"1","1",7,0.491052739539739,0.859499140392041,0.275821020578688
"408","41","P41_23","3",22.35,2.08725220152864,17.5910972929667,"0","1",7,0.786792460696389,0.847767852135176,0.489801775753868
"409","41","P41_24","2",128.96,2.10061706906029,20.9054568541334,"1","0",7,0.162075144313333,0.579463211578349,0.40693002268759
"410","41","P41_25","1",24.98,2.44318842501833,18.3424685865891,"1","1",8,0.733631164558577,0.829812062345797,0.484004577180411
"411","41","P41_26","4",73.02,0.503682198510228,25.7570286589741,"0","0",8,0.346951062310848,0.805217495445241,0.169121321608905
"412","41","P41_27","2",125.3,1.8876335384258,33.2253929752679,"1","0",8,0.301390773092598,0.665262033770409,0.283147142992299
"413","41","P41_28","3",22.09,2,17.7322027576741,"0","1",8,0.802409583422738,0.865601720144523,0.711860035790908
"414","41","P41_29","3",27.82,0.953381815429561,18.1897193579832,"0","1",9,0.653610999768978,0.84816652414104,0.402864178173858
"415","41","P41_30","1",41.85,2.01364855800344,19.8454541593124,"1","1",9,0.510549220094956,0.686750084088351,0.384631565678489
"416","41","P41_31","4",104.87,0.559690538883721,25.460808389128,"0","0",9,0.235853221438273,0.75419382564441,0.0878497870756569
"417","41","P41_32","2",150.13,2.14215036412403,23.1485207105323,"1","0",9,0.18602457346798,0.593519378444149,0.293364943401383
"418","41","P41_4","2",141.38,2,26.4765198884895,"1","0",10,0.233675623816888,0.632728368989817,0.308895454712313
"419","41","P41_5","2",127.13,2.00000996597841,31.4035892104224,"1","0",11,0.28417190350386,0.646057290810755,0.228622371957818
