"","participant","haptic","visual","condition_nums","experiment","average_time_through_maze","average_path_length","average_velocity","average_proximity","average_force"
"59",8,"1","0","2",1,41.06,22.1072868801828,0.544264255394221,0.757031858731435,0.314451653218562
"60",8,"1","0","2",2,121.22125,24.5391352698734,0.314441847571943,0.606894567413028,0.593876432686658
"61",8,"1","1","1",1,29.13875,20.8755234170386,0.711094274713997,0.881219312553603,0.420528989511387
"62",8,"1","1","1",2,107.3575,30.6095350713567,0.405994711002446,0.744243728225236,0.6786614366627
"63",9,"0","0","4",1,32.1225,24.1942087413528,0.758377614238852,0.824373044951055,0.731510765629063
"64",9,"0","0","4",2,32.24,22.3609732623739,0.695017728549886,0.780403732854259,0.563088548620047
"65",9,"0","1","3",1,23.93875,20.8400601079559,0.889694688272988,0.841918752678637,0.882641086414264
"66",9,"0","1","3",2,24.65875,20.5232644631783,0.844333254732384,0.912304430736978,0.718502119477472
"67",9,"1","0","2",1,50.7157142857143,27.5567655167358,0.535946789538102,0.696625122812113,0.556105759412259
"68",9,"1","0","2",2,89.32125,23.7150898920908,0.327053457315833,0.662902111477114,0.60836233258127
"69",9,"1","1","1",1,25.5525,21.5601261565135,0.877843684246997,0.765256605009211,0.908207162540636
"70",9,"1","1","1",2,33.1525,20.7417616361014,0.635517388596919,0.886118866304047,0.400011478266804
"71",10,"0","0","4",1,34.0071428571429,26.2988455082945,0.8209438589721,0.780699065879079,0.653442604548776
"72",10,"0","0","4",2,92.88,21.1713261460422,0.240966824798307,0.848720952383527,0.0335710567517321
"73",10,"0","1","3",1,25.79875,20.5877837135106,0.799574976416761,0.853787101554177,0.587773487078453
"74",10,"0","1","3",2,20.33875,20.5446414111694,1.02572736364625,0.916413738729889,1.17833721355591
"75",10,"1","0","2",1,56.515,23.440528818067,0.423632969656249,0.724733935124185,0.374385781287983
"76",10,"1","0","2",2,184.0575,29.2490375450737,0.194838044415504,0.731883174686204,0.289034395316782
"77",10,"1","1","1",1,30.01,20.5585729375234,0.691306918994759,0.836675948086435,0.376160232981397
"78",10,"1","1","1",2,27.88375,20.8603110835086,0.79544338497906,0.862757231374016,0.751970593663783
"79",11,"0","0","4",1,45.07875,21.7373926950557,0.492522133248713,0.819434367523991,0.275935852395634
"80",11,"0","0","4",2,54.3285714285714,22.9840182835018,0.433866885530204,0.758429378569773,0.198212257203058
"81",11,"0","1","3",1,22.73375,20.3381773761998,0.912420807945433,0.890656018352534,0.867743893904763
"82",11,"0","1","3",2,27.405,20.1024726980031,0.762290142604608,0.841425216322041,0.515592529562086
"83",11,"1","0","2",1,49.02,24.7809237591774,0.486736706648562,0.749949750954567,0.450262414881596
"84",11,"1","0","2",2,122.605,25.0147494368708,0.410098394784024,0.632430678624315,0.488824943290881
"85",11,"1","1","1",1,27.43125,20.3055572382088,0.741764471009713,0.875522909070663,0.500182845497774
"86",11,"1","1","1",2,52.43125,21.1960737632451,0.464984346242432,0.788374221018358,0.256854248663954
"87",12,"0","0","4",1,26.97625,26.0724406907632,1.00448369322595,0.823788647019158,1.2492826311104
"88",12,"0","0","4",2,64.905,30.4792711906335,0.476484703153676,0.815438150910071,0.237114908204576
"89",12,"0","1","3",1,17.78625,20.372150061745,1.1461244186074,0.861473001145285,1.44964479447658
"90",12,"0","1","3",2,23.875,21.814160087875,0.920167896521165,0.854809824436342,0.997689721539676
"91",12,"1","0","2",1,13.88,18.6864694991399,1.3514076998612,0.590707508317153,1.37835392701416
"92",12,"1","0","2",2,155.0225,31.8741384953122,0.245646222788328,0.654257131241285,0.251888734098741
"93",12,"1","1","1",1,18.6675,20.4661236627323,1.11127447768221,0.809441869990113,1.28360969739065
"94",12,"1","1","1",2,28.665,20.9799720704511,0.764221311096867,0.846446847115387,0.65837228032243
"95",13,"0","0","4",1,35.6775,23.273605692788,0.753640144945085,0.834069636828135,0.646336779172284
"96",13,"0","0","4",2,34.92125,21.745542426393,0.634809473826539,0.793617099810867,0.409208038325052
"97",13,"0","1","3",1,20.60875,20.7247333405615,1.00489620080607,0.907615029161354,1.19562544382905
"98",13,"0","1","3",2,26.215,20.4471443314784,0.809781326081838,0.889038072392322,0.756298165738038
"99",13,"1","0","2",1,43.6375,24.8089218395411,0.5850604767838,0.739751969574997,0.542104891469655
"100",13,"1","0","2",2,75.21,22.7062256557892,0.329666659084907,0.67542353956384,0.359791229476568
"101",13,"1","1","1",1,22.99875,20.9688243559863,0.921556278169781,0.841599881343717,0.936077095516034
"102",13,"1","1","1",2,50.835,22.588801337607,0.451829447957904,0.81349875175505,0.289898643909939
"103",14,"0","0","4",1,65.54375,24.1059583998892,0.389800121064034,0.771847998510705,0.144166221216336
"104",14,"0","0","4",2,70.0625,25.2445562250206,0.376336235283989,0.754592584052511,0.132042686059663
"105",14,"0","1","3",1,39.39625,21.5244110059542,0.567358325039738,0.811255777481046,0.262073401467792
"106",14,"0","1","3",2,25.2828571428571,20.5111086399848,0.820500792625733,0.84842527011908,0.643105699303681
"107",14,"1","0","2",1,72.4666666666667,30.8403125490645,0.397910570169458,0.66169697616739,0.422994915889765
"108",14,"1","0","2",2,155.52375,28.4531666073283,0.23562667660761,0.606348660907128,0.335806991081509
"109",14,"1","1","1",1,37.7825,23.2600181891541,0.628360999153633,0.67757559806393,0.578612034824783
"110",14,"1","1","1",2,46.4357142857143,21.3411511258596,0.520687110497431,0.756032770264167,0.386060333803333
"111",15,"0","0","4",1,39.4775,27.2709156323717,0.69188300907721,0.835257141774059,0.786113006803077
"112",15,"0","0","4",2,46.078,22.9003983608941,0.564189810919953,0.732670734552583,0.370735177950267
"113",15,"0","1","3",1,19.6625,21.081387659298,1.07681499945849,0.919305674627872,1.45925340294669
"114",15,"0","1","3",2,39.13375,22.6870389989853,0.581830447388562,0.769248136735449,0.309920562305198
"115",15,"1","0","2",1,37.7385714285714,26.7280521133309,0.729488897647278,0.733789026646009,0.87355498878996
"116",15,"1","0","2",2,387.76,52.4297639386282,0.24018618478354,0.544687355381878,1.09770605497163
"117",15,"1","1","1",1,22.92375,21.6862777418747,0.95141384860078,0.887595088712853,1.12764260743286
"118",15,"1","1","1",2,58.7714285714286,22.3671076204528,0.433632744981353,0.751728018498585,0.374195280413141
"119",16,"0","0","4",1,23.54625,23.9368465247602,1.02399334198519,0.803856829018559,1.2494336251467
"120",16,"0","0","4",2,36.1042857142857,21.5081582720349,0.609753444759523,0.717081854605652,0.328598346717696
"121",16,"0","1","3",1,20.4671428571429,21.3659636404564,1.04278654630515,0.882376508113354,1.35197781821673
"122",16,"0","1","3",2,29.65125,21.1847452518477,0.740694383035754,0.812388671151573,0.530586161879145
"123",16,"1","0","2",1,40.1,33.2111962850105,0.731301905532088,0.701169864888429,0.979653946386844
